Entity;Code;Year;Per capita energy consumption;GDP per capita;World region according to OWID
Afghanistan;AFG;2023;990.46967;1983.8126;Asia
Albania;ALB;2023;8032.0703;19487.71;Europe
Algeria;DZA;2023;16994.377;15159.324;Africa
Angola;AGO;2023;2680.3416;8788.261;Africa
Antigua and Barbuda;ATG;2023;32266.113;28474.045;North America
Argentina;ARG;2023;22053.053;27230.396;South America
Armenia;ARM;2023;16027.844;19402.752;Asia
Aruba;ABW;2023;45116.08;41964.77;North America
Australia;AUS;2023;62658.08;60684.96;Oceania
Austria;AUT;2023;43148.035;64536.297;Europe
Azerbaijan;AZE;2023;21072.756;21310.738;Asia
Bahamas;BHS;2023;30598.396;35221.27;North America
Bahrain;BHR;2023;164932.52;57819.906;Asia
Bangladesh;BGD;2023;2954.8494;8242.398;Asia
Barbados;BRB;2023;20013.902;21318.672;North America
Belarus;BLR;2023;33297.785;27782.438;Europe
Belgium;BEL;2023;55542.023;63095.402;Europe
Belize;BLZ;2023;9012.318;12371.009;North America
Benin;BEN;2023;1896.6274;3721.2126;Africa
Bermuda;BMU;2023;35958.02;103052.35;North America
Bhutan;BTN;2023;18780.541;14610.296;Asia
Bolivia;BOL;2023;8598.6455;11616.157;South America
Bosnia and Herzegovina;BIH;2023;26735.992;18844.465;Europe
Botswana;BWA;2023;9508.218;18932.48;Africa
Brazil;BRA;2023;18252.027;19079.812;South America
British Virgin Islands;VGB;2023;19622.957;;North America
Brunei;BRN;2023;118211.914;76616.7;Asia
Bulgaria;BGR;2023;29007.344;31469.861;Europe
Burkina Faso;BFA;2023;1020.26306;2486.2068;Africa
Burundi;BDI;2023;277.14117;1036.1671;Africa
Cambodia;KHM;2023;4590.6875;6695.292;Asia
Cameroon;CMR;2023;1251.8386;4875.251;Africa
Canada;CAN;2023;98930.016;57517.44;North America
Cape Verde;CPV;2023;5861.1255;9228.461;Africa
Cayman Islands;CYM;2023;41943.16;79675.86;North America
Central African Republic;CAF;2023;279.59027;1132.6764;Africa
Chad;TCD;2023;440.09256;2433.0989;Africa
Chile;CHL;2023;25306.361;29563.678;South America
